lat_r,lng_r,alert_count
17.168,79.396,28
17.077,79.801,28
17.197,79.227,28
17.231,79.048,28
17.15,79.624,28
17.246,78.92,28
17.281,78.785,28
17.197,79.23,28
17.19,79.247,28
17.278,78.807,28
16.964,80.036,28
17.188,79.249,28
17.368,78.538,28
17.198,79.191,27
17.198,79.206,27
17.23,79.063,27
17.245,78.925,27
17.284,78.779,27
17.229,79.079,27
17.229,79.026,27
17.189,79.248,27
17.334,78.587,27
17.112,79.681,27
17.08,79.794,27
16.942,80.06,27
17.064,79.815,27
17.159,79.304,27
17.159,79.418,27
17.151,79.576,27
17.15,79.578,27
17.108,79.718,27
17.111,79.665,27
17.011,79.897,27
17.113,79.662,27
17.248,78.906,26
17.165,79.332,26
17.231,79.063,26
17.231,79.052,26
17.122,79.647,26
17.354,78.546,26
17.162,79.513,26
17.084,79.788,26
17.14,79.633,26
17.344,78.555,26
17.158,79.541,26
17.28,78.798,26
17.157,79.454,26
17.059,79.825,26
17.307,78.707,26
17.177,79.265,26
17.078,79.796,26
17.359,78.545,26
17.23,79.025,25
17.211,79.172,25
17.28,78.792,25
17.026,79.866,25
17.376,78.497,25
17.231,79.096,25
17.118,79.653,25
17.016,79.919,25
17.319,78.652,25
17.164,79.548,25
17.147,79.583,25
17.165,79.293,25
17.151,79.607,25
17.159,79.473,25
17.372,78.51,25
17.23,78.999,25
17.194,79.237,25
17.327,78.606,25
17.371,78.512,25
17.365,78.543,25
17.254,78.895,25
17.293,78.749,25
17.085,79.787,25
17.368,78.532,25
17.255,78.893,25
17.357,78.545,24
17.159,79.537,24
17.321,78.627,24
17.148,79.583,24
17.114,79.662,24
16.961,80.04,24
17.012,79.894,24
17.164,79.411,24
17.174,79.278,24
17.163,79.552,24
17.109,79.707,24
17.041,79.851,24
17.161,79.478,24
17.141,79.632,24
17.338,78.569,24
17.139,79.633,24
17.049,79.843,24
17.149,79.58,24
16.984,80.002,24
17.101,79.747,24
17.28,78.788,24
17.169,79.396,24
17.226,79.137,24
17.369,78.517,24
17.154,79.561,24
17.266,78.831,24
17.231,79.089,24
17.152,79.571,24
17.149,79.578,23
17.231,79.128,23
17.231,79.049,23
17.044,79.848,23
17.153,79.571,23
17.277,78.811,23
17.317,78.667,23
17.368,78.536,23
17.341,78.561,23
17.307,78.716,23
17.231,79.109,23
17.153,79.57,23
17.32,78.643,23
17.099,79.752,23
17.246,78.914,23
17.221,79.145,23
17.024,79.87,23
17.241,78.936,23
17.031,79.86,23
17.23,79.079,22
17.311,78.684,22
17.23,79.13,22
17.396,78.471,22
17.23,79.064,22
17.267,78.829,22
17.373,78.506,22
17.144,79.63,22
17.341,78.562,22
